Column1,Name,Description,Type,Reference,Sports,Spiritual,
51,Club Sailing,"As a member of the South Atlantic Intercollegiate Sailing Association (SAISA), Duke Sailing competes all over the Southeast in the fall and spring seasons against both club teams and nationally-ranked varsity teams. We travel to regional regattas dedicated to promoting sailing within the conference, as well as inter-conference regattas that host top teams from all across the country.",Group,http://dukesailing.weebly.com/,1,0,
52,Something Borrowed Something Blue,To spread the message of God through music and fellowship.,Group,http://dukesbsb.com/,0,0,
53,Duke Smart Home,"The Duke University Smart Home is an organization whose purpose is to create an interconnected living environment that will contribute to the innovation and demonstration of the future of sustainable building technology. It will provide students at Duke University with an opportunity for practical hands-on engineering outside of the classroom in a living and learning community. Furthermore, our organization will provide a channel for Duke University to spearhead the drive for advanced living technology and encourage public awareness of such technology. For these reasons, we do hereby establish ourselves as the Duke Smart Home and establish this constitution as our governing law.",Group,http://dukesmarthome.com/,0,0,
54,Sustainable Ocean Alliance,"The mission of SOA is to promote and strengthen student interest, knowledge, and engagement with ocean related research and policy.",Group,http://dukesoa.squarespace.com/,0,0,
55,Club Squash,"After building two regulation-sized courts in the winter of 2015, the Duke Squash program has been growing quickly and promisingly. Over the past several years the now co-ed team has gone on to play tournaments at UVA, New York City, Chapel Hill, Charlotte, and Baltimore. The season culminated with a dream trip to Barcelona over spring break where the players trained with professionals at the prestigious Barcelona Global Squash program.",Group,http://dukesquash.wordpress.com/,1,0,
56,Street Medicine,"Street Medicine is a Duke performance group focused on Hip-Hop/Street-Style dance and culture. By providing a space for Duke students of all skill levels to learn and engage with this culture, Street Medicine seeks to develop a greater interest in street-style dance history and foundations at Duke University, to increase access to dance education and performance opportunities, and to connect interested students with the greater dance and Durham community.",Group,http://dukestreetmedicine.com/,0,0,
57,Duke Student Government,Duke Student Government (DSG) is the governing body of undergraduate students at Duke University.,Group,http://dukestudentgovernment.org/,0,0,
58,Temptasians A Cappella Group,"The Temptasians is a co-ed a cappella group dedicated to appreciating music that is specific but not limited to Chinese, Japanese, Korean songs.",Group,http://duketemptasians.com/,0,0,
59,Juris: Duke's Undergraduate Law Magazine,"To publish scholarly work displaying extensive academic work, writes and compiled by underrates whose main purpose is publication.",Group,http://dukeundergraduatelawmagazine.org/,0,0,
60,DUU Marketing,"DUU is Dukes institutional, student-led event, programming, arts and media body, and the schools largest student organization! Each year, DUU committees design and execute over 200 events and media, ranging from weekly Jazz@ the Mary Lou, to Duke Student Broadcasting videos in association with Duke Basketball, and even to the LDOC Concert. Our mission is simple: to provide diverse, community-based and creative programming and media that complements the social, educational, and professional aims of Duke University.",Group,http://duuke.org/,0,0,
61,DUU Jazz@,Jazz@ is a student organization that seeks to connect the jazz artist with the jazz audience at Duke.,Group,http://duuke.org/jazz/,0,0,
62,Duke German Club,"Our purpose is to promote and increase awareness of German language, culture, society, politics, and history across Duke University, including undergraduates, graduates, faculty, vising scholars, and staff. D.G.C. is primarily a cultural organization but also values cross-cultural awareness and understanding.",Group,http://german.duke.edu/undergraduate/duke-german-club,0,0,
63,GlobeMed at Duke,"The mission of GlobeMed at Duke is to strengthen the movement for global health equity on campus, in the Durham community and in the international community.",Group,http://globemedatduke.wix.com/home,0,0,
64,Student Advisory Board at the DHRC@FHI,"The Duke Human Rights Center @ the Franklin Humanities Institute brings together an interdisciplinary group of scholars, staff, and students to promote new understandings of and action on human rights. We engage with issues of race, ethnicity, gender, sexuality, religion, income inequality, the environment, the philosophy and history of human rights, the literature that emerges alongside it, linguistic rights, and artistic responses in our research, teaching, programming, and outreach. Our goal is to foster strategies and collaborative, cross-disciplinary, and critical thinking about human rights in both local and global contexts. The Center is committed to social justice.  In partnership with the FHI, we see the humanities as an essential frame and launch point for inquiry. We develop undergraduate courses and global experiences, sponsor campus-wide events that encourage awareness and activism on human rights, and engage in long-term partnerships with community-based organizations.",Group,http://humanrights.fhi.duke.edu/students/student-advisory-board/,0,0,
65,"Delta Sigma Theta Sorority, Inc.","Delta Sigma Theta Sorority, Incorporated is an organization of college educated women committed to the constructive development of its members and to public service with a primary focus on the Black community.",Group,http://lambdaomegadst.com/,0,0,
66,Nasher MUSE,"The Nasher Museum of Art at Duke University is a major center for the arts in Durham, North Carolina, and the surrounding region. The 65,000-square-foot building was designed by architect Rafael Viñoly. Since opening in 2005, the museum has organized and presented leading-edge exhibitions that travel worldwide. From the beginning, the Nasher Museum has been dedicated to building a groundbreaking collection of contemporary art. In this effort, the museums collection strategy emphasizes works by diverse artists who have been historically underrepresented, or even excluded, by mainstream arts institutions, and maintains a particular focus on artists of African descent. Other strengths in the collection include European medieval art, European and American paintings, Outsider art, classical antiquities, African art and ancient American art.",Group,http://nasher.duke.edu/MUSE,0,0,
67,American Medical Women's Association Undergraduate Chapter,"AMWA will be an organization that supports female pre-medical students at Duke. It will serve as both a welcoming community and a resource for members. AMWA will help to connect members to research, volunteer, shadowing, advising, and networking opportunities.",Group,http://sites.duke.edu/dukeamwa/,0,0,
68,Duke Advanced-Degree Consulting Club,Our mission is to empower highly talented advanced-degree candidates to leverage their knowledge and expertise towards solving the worldâs toughest business challenges.,Group,http://sites.duke.edu/dukeapdconsulting/,0,0,
69,Duke Dance Council,"The mission of Dance Council is to unite the various recognized dance groups on Duke Universityâs campus. As a council, the group shall work together to ensure that every recognized dance group on campus is offered equal and fair opportunity to the various resources Duke University has to offer. In this way, the groups will each be able to more effectively and efficiently enhance their unique contribution to the larger Duke community. The Duke University Dance Council will also encourage artistic collaboration between dance groups and will sponsor dance events that are open to the Duke community in an effort to raise awareness of the art of dance and broaden perspectives to realize the transformative power of dance. Finally, the Duke University Dance Council will serve as a liaison between the community of dancers with the administration, Duke Dance Program, Durham community, and the rest of Dukeâs campus to ensure that the needs of dancers are met.",Group,http://sites.duke.edu/dukedancecouncil/,0,0,
70,Duke Jewish Student Union,"To cultivate a productive and inclusive Duke Jewish community by enriching our social, cultural, and religious environment through education, programming, and representation at Duke University and in the surrounding community.",Group,http://sites.duke.edu/dukejsu/,0,1,
71,Men's Club Rowing,"Menâs rowing at Duke is a highly competitive sport club. Founded in 1978, the team has steadily grown since then. We race at major regattas all along the east coast, during both Fall and Spring, with training continuing year round.",Group,http://sites.duke.edu/dukemenscrew/,1,0,
72,On Tap,The mission of On Tap is to explore and showcase the art of tap dance at Duke University. On Tap seeks to provide its members with the opportunity to improve their technique through regular rehearsals and performances of original choreography.,Group,http://sites.duke.edu/dukeontap,0,0,
73,Presbyterian Campus Ministry,"The mission of the Presbyterian Campus Ministries at Duke, Inc. is to provide a welcoming spiritual home for both believers and the spiritually curious in an open-minded, open-hearted, Christ-centered community. Delighting in the diversity of Godâs people, we welcome and serve undergraduate students of every race, ethnicity, ability, class, gender, and sexual orientation. Rooted in the Reformed tradition, we explore together what it means to follow Christ at Duke.",Group,http://sites.duke.edu/dukepcm/,0,1,
74,Duke Pre-Vet Society,"The mission of the Duke Pre-Vet Society is to provide students with â¨information and support that will aid them in attaining their goal of â¨becoming veterinarians. The Pre-Vet Society will also highlight theâ¨ various career options that are available in the veterinary field,â¨ through presentations of veterinarians in our community. Finally, theâ¨ Pre-Vet Society will foster an environment in which pre-vet students â¨can interact with other students of similar interests.",Group,http://sites.duke.edu/dukepvs/,0,0,
